Borough,Year,affordability_stress,unemployment_rate,rental_vacancy_rate,supply_pipeline_rate
Manhattan,2024,0.019176604,0.05189777327725836,0.055309273516456904,9.960718577925617
Manhattan,2025,0.02013513,0.03389449325097382,0.055379764325420404,7.019632969056145
Manhattan,2026,0.022038486,0.015891213224689282,0.05545025513438391,4.078547360186674
Manhattan,2027,0.022459432,-0.002112066801595258,0.05552074594334741,1.1374617513172023
Bronx,2024,0.062420983,0.059038475049154604,0.022226641796971754,33.33092554387652
Bronx,2025,0.06256442,0.02516417985445081,0.023291308908640205,30.83371995974193
Bronx,2026,0.06446777,-0.008710115340252983,0.02435597602030866,28.336514375607344
Bronx,2027,0.06458456,-0.042584410534956776,0.025420643131977113,25.839308791472753
Brooklyn,2024,0.03905892,0.031405745573214294,0.026686386383087502,14.85450395131108
Brooklyn,2025,0.040929448,0.0046550967324973935,0.0247597272106362,8.859609665450495
Brooklyn,2026,0.040929448,-0.022095552108219514,0.022833068038184905,2.86471537958991
Brooklyn,2027,0.040619295,-0.048846200948936415,0.020906408865733608,-3.1301789062706753
Queens,2024,0.046549138,0.01622154019590996,0.03172196887365146,13.597540763844918
Queens,2025,0.047186036,-0.01766422630679338,0.032363091886391915,10.620147552138866
Queens,2026,0.04660852,-0.05154999280949673,0.03300421489913238,7.642754340432813
Queens,2027,0.046654757,-0.08543575931220007,0.03364533791187283,4.665361128726758
